Nombre,Edad,Departamento,Calificacion,Beca
Javier Lopez,28,Quimica,9.16,No
Juan Lopez,27,Matematicas,2.48,Si
Carlos Rodriguez,29,Fisica,2.91,No
Luis Martinez,19,Economia,1.72,Si
Javier Lopez,18,Historia,6.47,Si
Juan Garcia,26,Ingenieria,3.44,Si
Laura Martinez,29,Economia,0.54,Si
Pedro Martinez,25,Biologia,9.11,No
Ana Martinez,18,Fisica,4.5,No
Ana Perez,20,Biologia,5.86,Si
Laura Garcia,22,Medicina,6.33,Si
Elena Martinez,30,Matematicas,6.12,No
Laura Garcia,20,Quimica,8.75,Si
Laura Lopez,27,Biologia,2.18,Si
Carlos Rodriguez,18,Biologia,6.74,No
Sofia Lopez,22,Arte,4.17,No
Elena Martinez,26,Matematicas,3.51,No
Ana Martinez,28,Derecho,9.37,No
Ana Rodriguez,27,Matematicas,5.19,No
Ana Martinez,20,Quimica,0.1,Si
Elena Garcia,23,Ingenieria,2.02,Si
Ana Perez,30,Derecho,7.83,Si
Pedro Garcia,21,Ingenieria,4.36,No
Carlos Rodriguez,30,Historia,5.25,No
Laura Perez,25,Fisica,4.78,No
Carlos Perez,20,Economia,0.56,Si
Juan Rodriguez,22,Ingenieria,2.84,No
Carlos Rodriguez,25,Ingenieria,3.55,Si
Carlos Perez,23,Arte,2.7,Si
Javier Perez,29,Derecho,7.52,No
Javier Lopez,29,Medicina,2.34,No
Maria Garcia,27,Arte,0.76,Si
Luis Lopez,24,Medicina,2.88,No
Carlos Lopez,27,Arte,0.56,No
Ana Martinez,28,Arte,2.15,No
Laura Garcia,24,Economia,0.15,Si
Pedro Lopez,24,Arte,7.51,No
Elena Perez,30,Biologia,3.64,No
Juan Perez,25,Fisica,4.38,Si
Sofia Garcia,18,Ingenieria,2.43,Si
Elena Perez,26,Biologia,6.33,Si
Maria Garcia,19,Historia,6.92,Si
Carlos Rodriguez,21,Arte,8.42,No
Javier Rodriguez,29,Biologia,5.45,Si
Elena Lopez,29,Matematicas,0.38,Si
Laura Martinez,19,Historia,7.97,No
Luis Rodriguez,25,Economia,4.88,Si
Carlos Lopez,30,Derecho,2.72,No
Elena Garcia,20,Economia,0.62,Si
Maria Rodriguez,22,Matematicas,7.28,Si
Javier Lopez,30,Matematicas,2.8,No
Laura Lopez,21,Fisica,5.6,No
Pedro Perez,25,Medicina,5.39,No
Maria Garcia,29,Historia,8.52,Si
Javier Lopez,30,Ingenieria,6.14,Si
Elena Lopez,28,Quimica,0.51,No
Ana Martinez,26,Quimica,9.44,Si
Pedro Perez,19,Economia,2.29,Si
Laura Garcia,30,Quimica,3.09,No
Maria Martinez,22,Derecho,5.97,Si
Javier Perez,23,Historia,0.0,Si
Ana Garcia,25,Biologia,1.74,Si
Luis Lopez,20,Quimica,9.51,Si
Juan Lopez,23,Medicina,6.09,Si
Ana Martinez,29,Medicina,3.08,No
Juan Garcia,18,Fisica,1.94,Si
Pedro Garcia,18,Historia,2.64,No
Ana Lopez,25,Medicina,4.55,Si
Ana Perez,29,Derecho,6.9,No
Laura Martinez,19,Arte,0.2,Si
Luis Garcia,23,Derecho,5.81,No
Juan Garcia,28,Fisica,4.02,Si
Sofia Rodriguez,20,Matematicas,3.43,Si
Luis Perez,24,Quimica,8.44,No
Javier Lopez,28,Economia,2.4,Si
Maria Lopez,29,Arte,6.22,No
Ana Martinez,20,Arte,3.59,Si
Juan Rodriguez,19,Biologia,5.56,No
Maria Perez,28,Historia,8.14,Si
Elena Perez,27,Quimica,6.53,No
Maria Garcia,24,Historia,9.36,No
Juan Rodriguez,28,Derecho,2.54,Si
Elena Martinez,20,Derecho,1.95,Si
Sofia Lopez,19,Historia,5.96,No
Javier Garcia,26,Quimica,8.83,No
Sofia Perez,26,Biologia,9.83,Si
Carlos Rodriguez,28,Biologia,6.16,No
Pedro Perez,25,Fisica,5.06,No
Ana Lopez,28,Matematicas,5.94,Si
Sofia Lopez,24,Matematicas,5.55,Si
Ana Garcia,21,Derecho,2.62,Si
Javier Perez,24,Medicina,1.18,Si
Carlos Perez,23,Economia,4.17,Si
Ana Garcia,30,Quimica,2.59,No
Sofia Perez,20,Quimica,4.19,No
Juan Lopez,24,Medicina,1.26,Si
Laura Perez,22,Biologia,5.84,Si
Maria Garcia,24,Arte,6.79,No
Pedro Rodriguez,26,Quimica,0.01,No
Ana Perez,27,Economia,7.57,Si
Pedro Perez,23,Ingenieria,2.16,Si
Sofia Perez,19,Biologia,7.42,No
Ana Martinez,26,Matematicas,8.75,Si
Ana Garcia,28,Historia,1.2,Si
Ana Martinez,23,Derecho,7.17,No
Luis Garcia,22,Derecho,0.45,No
Ana Martinez,28,Ingenieria,4.48,Si
Luis Lopez,18,Derecho,1.02,No
Sofia Martinez,24,Medicina,6.12,No
Elena Martinez,25,Biologia,6.25,Si
Maria Lopez,30,Arte,7.96,Si
Sofia Rodriguez,22,Matematicas,0.25,Si
Pedro Lopez,19,Matematicas,5.01,No
Carlos Lopez,22,Derecho,8.39,No
Elena Rodriguez,28,Medicina,9.62,Si
Elena Garcia,23,Medicina,5.26,No
Pedro Martinez,18,Derecho,5.55,No
Elena Martinez,20,Biologia,4.97,Si
Juan Martinez,24,Derecho,5.51,Si
Juan Perez,21,Derecho,1.94,Si
Maria Rodriguez,24,Ingenieria,7.67,Si
Luis Martinez,19,Matematicas,8.08,Si
Elena Garcia,25,Quimica,8.99,No
Luis Garcia,21,Economia,3.8,No
Juan Lopez,29,Ingenieria,4.32,Si
Luis Lopez,20,Matematicas,2.0,Si
Juan Martinez,21,Economia,2.92,Si
Pedro Martinez,27,Historia,4.3,No
Elena Lopez,28,Derecho,5.22,Si
Elena Lopez,26,Historia,5.35,Si
Luis Garcia,25,Arte,0.01,No
Carlos Martinez,28,Biologia,9.63,Si
Maria Martinez,27,Economia,4.77,Si
Sofia Lopez,26,Derecho,3.48,No
Laura Perez,29,Quimica,5.77,Si
Luis Lopez,27,Historia,0.1,No
Carlos Rodriguez,26,Medicina,0.82,No
Pedro Martinez,22,Medicina,0.34,No
Juan Martinez,20,Derecho,9.32,Si
Juan Rodriguez,23,Medicina,2.76,No
Maria Martinez,19,Matematicas,0.66,No
Ana Garcia,29,Arte,7.86,No
Carlos Rodriguez,23,Quimica,4.76,Si
Javier Martinez,19,Derecho,4.13,No
Juan Garcia,25,Historia,7.56,No
Javier Martinez,28,Derecho,5.74,Si
Luis Perez,24,Arte,3.27,Si
Elena Lopez,29,Biologia,6.98,Si
Juan Lopez,28,Arte,8.94,No
Laura Perez,26,Biologia,0.41,No
Ana Perez,24,Economia,6.19,No
Juan Lopez,23,Ingenieria,3.97,Si
Sofia Rodriguez,18,Derecho,5.87,No
Ana Rodriguez,21,Quimica,3.46,No
Elena Martinez,24,Medicina,2.99,No
Carlos Perez,21,Fisica,6.0,No
Javier Rodriguez,27,Matematicas,1.32,No
Elena Rodriguez,25,Ingenieria,3.04,Si
Ana Martinez,19,Derecho,7.26,No
Luis Perez,23,Derecho,4.27,No
Juan Martinez,25,Derecho,5.51,No
Maria Rodriguez,20,Arte,8.82,Si
Laura Martinez,25,Quimica,7.73,Si
Maria Perez,20,Quimica,2.93,Si
Sofia Garcia,23,Matematicas,9.91,No
Carlos Perez,27,Fisica,8.43,No
Luis Perez,26,Arte,8.8,Si
Elena Perez,25,Economia,1.84,Si
Javier Garcia,21,Economia,9.94,No
Sofia Rodriguez,18,Quimica,9.8,No
Carlos Lopez,23,Quimica,8.94,No
Carlos Garcia,26,Ingenieria,5.36,Si
Juan Perez,21,Fisica,5.02,No
Pedro Lopez,20,Medicina,6.49,Si
Maria Martinez,29,Derecho,8.76,No
Pedro Rodriguez,19,Quimica,2.22,Si
Juan Garcia,27,Quimica,2.91,No
Juan Garcia,23,Matematicas,9.31,Si
Laura Martinez,25,Ingenieria,0.78,Si
Luis Rodriguez,23,Derecho,3.51,Si
Elena Perez,18,Fisica,8.09,Si
Javier Martinez,25,Quimica,6.35,No
Juan Rodriguez,28,Arte,8.43,No
Juan Garcia,29,Ingenieria,0.29,Si
Elena Lopez,18,Economia,5.43,Si
Juan Lopez,18,Ingenieria,2.32,Si
Luis Rodriguez,22,Derecho,5.76,No
Maria Lopez,30,Quimica,4.76,No
Juan Rodriguez,25,Derecho,8.36,Si
Javier Martinez,20,Arte,6.0,Si
Javier Rodriguez,23,Derecho,6.91,No
Luis Perez,30,Biologia,7.37,No
Ana Martinez,29,Biologia,9.7,No
Elena Lopez,21,Quimica,0.28,No
Pedro Rodriguez,21,Economia,5.45,No
Pedro Garcia,23,Medicina,5.14,Si
Pedro Rodriguez,30,Quimica,2.54,No
Pedro Lopez,24,Derecho,3.82,No
Ana Perez,20,Historia,4.38,Si
Laura Lopez,28,Fisica,4.44,No
Juan Rodriguez,19,Fisica,3.67,No
Javier Martinez,30,Ingenieria,3.36,Si
Sofia Rodriguez,25,Medicina,1.59,No
Ana Martinez,19,Economia,8.77,No
Juan Garcia,27,Arte,5.11,Si
Juan Martinez,26,Ingenieria,4.46,No
Elena Martinez,21,Economia,1.07,Si
Juan Martinez,26,Fisica,7.71,Si
Luis Garcia,27,Quimica,7.3,No
Pedro Martinez,29,Ingenieria,7.4,Si
Ana Garcia,28,Economia,0.21,Si
Juan Lopez,29,Historia,7.19,No
Sofia Martinez,28,Ingenieria,1.73,Si
Sofia Rodriguez,24,Arte,3.46,Si
Luis Rodriguez,20,Medicina,0.09,Si
Maria Perez,30,Economia,2.96,Si
Luis Rodriguez,24,Economia,0.74,No
Maria Lopez,20,Fisica,4.43,No
Elena Garcia,27,Fisica,8.33,No
Laura Lopez,25,Biologia,4.41,No
Laura Garcia,18,Historia,2.71,No
Laura Perez,25,Economia,5.9,Si
Laura Martinez,23,Ingenieria,1.95,Si
Carlos Rodriguez,26,Historia,8.1,No
Pedro Perez,19,Arte,1.57,Si
Juan Lopez,26,Ingenieria,8.61,Si
Juan Garcia,25,Derecho,6.55,No
Maria Perez,21,Quimica,9.91,No
Maria Lopez,21,Fisica,5.2,Si
Luis Garcia,20,Ingenieria,0.88,No
Laura Garcia,19,Fisica,8.46,No
Luis Lopez,19,Historia,5.34,Si
Laura Martinez,24,Historia,5.04,No
Maria Rodriguez,28,Matematicas,5.43,No
Elena Rodriguez,23,Ingenieria,5.59,No
Pedro Rodriguez,20,Derecho,0.36,Si
Laura Martinez,20,Medicina,3.96,No
Maria Garcia,29,Ingenieria,1.69,No
Carlos Perez,26,Matematicas,2.93,Si
Carlos Rodriguez,25,Fisica,8.46,No
Pedro Perez,30,Ingenieria,1.49,Si
Maria Garcia,19,Economia,4.86,No
Maria Garcia,30,Economia,4.12,Si
Sofia Martinez,28,Medicina,3.67,Si
Juan Lopez,25,Matematicas,6.06,Si
Sofia Rodriguez,21,Historia,0.04,No
Maria Perez,25,Historia,3.06,No
Laura Perez,20,Fisica,2.1,No
Carlos Rodriguez,22,Medicina,5.04,No
Maria Martinez,20,Medicina,8.15,No
Elena Perez,20,Medicina,9.25,Si
Luis Garcia,24,Historia,0.79,Si
Juan Martinez,26,Matematicas,3.27,Si
Pedro Rodriguez,22,Economia,9.18,No
Luis Lopez,24,Historia,4.8,No
Luis Martinez,26,Biologia,3.41,No
Pedro Rodriguez,23,Ingenieria,3.24,Si
Ana Rodriguez,19,Biologia,6.29,No
Javier Lopez,27,Arte,5.62,No
Elena Rodriguez,29,Matematicas,4.72,No
Carlos Lopez,21,Biologia,1.35,No
Ana Perez,23,Economia,1.99,Si
Javier Lopez,24,Derecho,8.58,No
Ana Rodriguez,24,Derecho,0.42,Si
Javier Rodriguez,24,Arte,7.74,Si
Carlos Lopez,27,Ingenieria,6.25,Si
Ana Perez,25,Matematicas,4.47,No
Elena Perez,24,Medicina,6.76,No
Luis Perez,28,Derecho,1.64,Si
Pedro Perez,18,Economia,2.33,Si
Javier Garcia,22,Derecho,9.12,Si
Javier Lopez,22,Quimica,5.53,No
Laura Martinez,18,Economia,1.41,Si
Pedro Martinez,27,Matematicas,3.15,Si
Maria Perez,20,Arte,4.88,Si
Carlos Lopez,27,Economia,6.66,Si
Ana Martinez,18,Fisica,9.81,No
Javier Lopez,27,Ingenieria,3.99,No
Maria Rodriguez,18,Arte,1.76,Si
Laura Martinez,20,Arte,9.41,No
Pedro Martinez,27,Biologia,0.17,No
Ana Rodriguez,24,Arte,5.75,Si
Luis Lopez,28,Biologia,6.85,No
Laura Martinez,29,Biologia,0.53,Si
Sofia Lopez,25,Derecho,6.67,No
Sofia Garcia,22,Biologia,3.18,No
Sofia Rodriguez,26,Arte,2.59,No
Javier Lopez,29,Historia,2.73,Si
Maria Lopez,22,Medicina,4.26,Si
Laura Rodriguez,28,Quimica,7.18,Si
Laura Martinez,25,Arte,0.29,Si
Sofia Perez,24,Ingenieria,1.61,No
Elena Martinez,24,Biologia,2.96,No
Javier Martinez,29,Historia,3.2,Si
Elena Rodriguez,24,Arte,5.35,No
Juan Garcia,18,Matematicas,5.11,No
Ana Garcia,21,Economia,4.83,No
Pedro Garcia,25,Fisica,8.37,No
Javier Garcia,26,Economia,5.65,Si
Pedro Lopez,21,Arte,0.36,Si
Juan Rodriguez,18,Arte,8.65,No
Luis Rodriguez,23,Derecho,7.23,Si
Elena Lopez,18,Fisica,9.78,No
Elena Rodriguez,25,Historia,0.67,No
Laura Lopez,27,Economia,3.85,Si
Luis Rodriguez,28,Economia,1.07,Si
Sofia Perez,21,Biologia,0.97,No
Laura Martinez,24,Matematicas,9.53,Si
Laura Rodriguez,28,Economia,4.9,Si
Sofia Garcia,25,Historia,9.03,Si
Luis Perez,19,Quimica,5.35,No
Elena Perez,19,Derecho,4.24,Si
Luis Martinez,22,Historia,6.74,No
Carlos Perez,23,Derecho,9.71,Si
Laura Martinez,18,Economia,3.19,No
Laura Martinez,18,Biologia,5.34,No
Luis Lopez,18,Ingenieria,5.82,Si
Sofia Lopez,30,Medicina,1.29,No
Laura Martinez,19,Economia,9.95,No
Maria Rodriguez,24,Fisica,8.65,No
Maria Perez,22,Historia,5.23,Si
Laura Garcia,21,Ingenieria,3.64,No
Ana Martinez,23,Arte,2.31,No
Ana Lopez,20,Arte,0.46,No
Carlos Rodriguez,26,Medicina,3.75,Si
Elena Garcia,18,Ingenieria,1.23,Si
Pedro Garcia,21,Quimica,4.96,Si
Javier Rodriguez,24,Ingenieria,1.67,No
Maria Perez,29,Arte,0.2,Si
Juan Rodriguez,25,Ingenieria,7.69,Si
Pedro Rodriguez,29,Biologia,0.46,No
Javier Martinez,24,Quimica,8.47,Si
Maria Rodriguez,19,Matematicas,1.31,No
Maria Garcia,21,Arte,2.86,Si
Pedro Rodriguez,26,Quimica,4.96,Si
Ana Lopez,30,Economia,7.78,Si
Juan Lopez,26,Economia,8.55,Si
Juan Garcia,28,Historia,6.19,No
Carlos Garcia,21,Quimica,6.56,Si
Luis Garcia,30,Economia,3.57,No
Javier Martinez,24,Biologia,4.45,Si
Maria Rodriguez,22,Quimica,8.74,No
Pedro Garcia,20,Economia,5.9,Si
Juan Garcia,18,Economia,8.49,No
Javier Garcia,27,Economia,6.3,No
Javier Rodriguez,26,Quimica,2.34,No
Javier Martinez,25,Economia,9.4,No
Laura Garcia,22,Fisica,2.84,No
Luis Lopez,27,Quimica,8.98,No
Maria Lopez,22,Biologia,4.78,Si
Pedro Perez,20,Quimica,0.53,Si
Ana Garcia,22,Quimica,6.11,No
Carlos Garcia,21,Derecho,0.17,No
